Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,0_output_weights_y,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_x,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,0_output_weights_y,output_0_nose_compScore
,,,,,,,,,,2,0.06486628908124387,0.1683366733466934,0.35269719526971954,0.044528607043408545,,,,,
,,,,,,,,,,44,0.7036435661141731,0.6693386773547094,0.031158480115848014,0.042672396757262435,,,,,
,,,,,,,,,,60,0.24932219199320219,0.37074148296593185,0.08327899232789923,0.04041238189620154,,,,,
,,,,,,,,,,64,0.1445187980581473,0.6152304609218436,0.14054100405410042,0.03953169565693142,,,,,
,,,,,,,,,,98,0.1474911299578748,0.8096192384769539,0.12642334264233426,0.03629202673373309,,,,,
,,,,,,,,,,67,0.06524322693016087,0.002004008016032064,0.2656098565609857,0.03372854996974684,,,,,
,,,,,,,,,,124,0.1784716389473405,0.7234468937875751,0.08764517876451787,0.03044495198154325,,,,,
,,,,,,,,,,111,0.14815254880674053,0.312625250501002,0.09845021984502199,0.028388592973647417,,,,,
,,,,,,,,,,20,0.2042195633006458,0.8937875751503006,0.07071823707182372,0.028109092144368103,,,,,
,,,,,,,,,,29,0.1936022115689979,0.8637274549098196,0.0690336869033687,0.02601293962218368,,,,,
,,,,,,,,,,90,0.18627996421900325,0.6533066132264529,0.06855199685519968,0.024854458523688474,,,,,
,,,,,,,,,,94,0.09905889906799169,0.006012024048096192,0.12264804226480423,0.023646788532887097,,,,,
,,,,,,,,,,46,0.08920243916980393,0.022044088176352707,0.13394515339451535,0.023255291317292183,,,,,
,,,,,,,,,,62,0.09030223038410498,0.012024048096192385,0.12096474809647481,0.021260591980148152,,,,,
,,,,,,,,,,32,0.12231218435727965,0.17034068136272545,0.08646155264615527,0.02058310088940526,,,,,
,,,,,,,,,,59,0.2053693787432428,0.6953907815631263,0.04778051877805188,0.019098734897816792,,,,,
,,,,,,,,,,72,0.13275102376719033,0.40681362725450904,0.06404877640487765,0.01654880988349382,,,,,
,,,,,,,,,,77,0.1023705074510463,0.7154308617234469,0.08298600829860084,0.016534755660177324,,,,,
